央视,#genre#
CCTV4,http://221.15.7.42:8888/rtp/225.1.5.30:1333
CCTV5,http://221.15.7.42:8888/rtp/225.1.4.159:1195
CCTV6,http://221.15.7.42:8888/rtp/225.1.4.160:1196
CCTV7,http://221.15.7.42:8888/rtp/225.1.4.76:1105
CCTV8,http://221.15.7.42:8888/rtp/225.1.4.161:1197
CCTV9,http://221.15.7.42:8888/rtp/225.1.4.77:1106
CCTV10,http://221.15.7.42:8888/rtp/225.1.4.78:1107
CCTV11,http://221.15.7.42:8888/rtp/225.1.4.215:1268
CCTV12,http://221.15.7.42:8888/rtp/225.1.4.79:1108
CCTV13,http://221.15.7.42:8888/rtp/225.1.4.113:1293
CCTV14,http://221.15.7.42:8888/rtp/225.1.4.80:1109
CCTV15,http://221.15.7.42:8888/rtp/225.1.4.216:1269
CCTV16,http://221.15.7.42:8888/rtp/225.1.5.46:1356
CCTV17,http://221.15.7.42:8888/rtp/225.1.4.226:2506
CCTV5,http://221.15.7.42:8888/rtp/225.1.4.75:1104
CCTV1,http://221.15.7.42:8888/rtp/225.1.4.1:1030
CCTV2,http://221.15.7.42:8888/rtp/225.1.4.2:1031
CCTV4,http://221.15.7.42:8888/rtp/225.1.4.4:1033
CCTV7,http://221.15.7.42:8888/rtp/225.1.4.7:1036
CCTV9,http://221.15.7.42:8888/rtp/225.1.4.9:1038
CCTV10,http://221.15.7.42:8888/rtp/225.1.4.10:1039
CCTV11,http://221.15.7.42:8888/rtp/225.1.4.11:1040
CCTV12,http://221.15.7.42:8888/rtp/225.1.4.12:1041
CCTV13,http://221.15.7.42:8888/rtp/225.1.4.13:1042
CCTV14,http://221.15.7.42:8888/rtp/225.1.4.14:1043
CCTV15,http://221.15.7.42:8888/rtp/225.1.4.15:1044
CCTV17,http://221.15.7.42:8888/rtp/225.1.4.227:2507
CCTV4,http://221.15.7.42:8888/rtp/225.1.5.31:1342
CCTV4,http://221.15.7.42:8888/rtp/225.1.5.32:1343
CCTV1,http://117.30.215.40:4022/rtp/239.61.3.61:9884
CCTV2,http://117.30.215.40:4022/rtp/239.61.2.174:9032
CCTV3,http://117.30.215.40:4022/rtp/239.61.3.34:9722
CCTV4,http://117.30.215.40:4022/rtp/239.61.2.206:9224
CCTV5,http://117.30.215.40:4022/rtp/239.61.3.35:9728
CCTV5+,http://117.30.215.40:4022/rtp/239.61.2.171:9014
CCTV6,http://117.30.215.40:4022/rtp/239.61.3.36:9734
CCTV7,http://117.30.215.40:4022/rtp/239.61.2.175:9038
CCTV8,http://117.30.215.40:4022/rtp/239.61.3.37:9740
CCTV9,http://117.30.215.40:4022/rtp/239.61.2.172:9020
CCTV10,http://117.30.215.40:4022/rtp/239.61.2.176:9044
CCTV11,http://117.30.215.40:4022/rtp/239.61.2.21:8120
CCTV12,http://117.30.215.40:4022/rtp/239.61.2.177:9050
CCTV13,http://117.30.215.40:4022/rtp/239.61.2.23:8132
CCTV14,http://117.30.215.40:4022/rtp/239.61.2.178:9056
CCTV15,http://117.30.215.40:4022/rtp/239.61.2.25:8144
CCTV17,http://117.30.215.40:4022/rtp/239.61.3.9:9572
CCTV1,http://117.30.215.40:4022/rtp/239.61.3.60:9878
CCTV1,http://221.218.14.126:8000/rtp/239.3.1.129:8008
CCTV2,http://221.218.14.126:8000/rtp/239.3.1.60:8084
CCTV3,http://221.218.14.126:8000/rtp/239.3.1.172:8001
CCTV4,http://221.218.14.126:8000/rtp/239.3.1.105:8092
CCTV5,http://221.218.14.126:8000/rtp/239.3.1.173:8001
CCTV5+,http://221.218.14.126:8000/rtp/239.3.1.130:8004
CCTV6,http://221.218.14.126:8000/rtp/239.3.1.174:8001
CCTV7,http://221.218.14.126:8000/rtp/239.3.1.61:8104
CCTV8,http://221.218.14.126:8000/rtp/239.3.1.175:8001
CCTV9,http://221.218.14.126:8000/rtp/239.3.1.62:8112
CCTV10,http://221.218.14.126:8000/rtp/239.3.1.63:8116
CCTV11,http://221.218.14.126:8000/rtp/239.3.1.152:8120
CCTV12,http://221.218.14.126:8000/rtp/239.3.1.64:8124
CCTV13,http://221.218.14.126:8000/rtp/239.3.1.124:8128
CCTV14,http://221.218.14.126:8000/rtp/239.3.1.65:8132
CCTV15,http://221.218.14.126:8000/rtp/239.3.1.153:8136
CCTV16,http://221.218.14.126:8000/rtp/239.3.1.183:8001
CCTV16,http://221.218.14.126:8000/rtp/239.3.1.184:8001
CCTV17,http://221.218.14.126:8000/rtp/239.3.1.151:8144
CCTV4,http://221.218.14.126:8000/rtp/239.3.1.213:4220
